pathway,ligand,receptor,sender,receiver,COVID,Control,log2FC
Chemokine_signaling,CXCL10,CXCR3,B_cell,Myeloid,3.4109464e-06,1.8006573e-06,0.0023171522
Chemokine_signaling,CXCL10,CXCR3,B_cell,NK_cell,0.00010173952,1.7162212e-05,0.1152334
Chemokine_signaling,CXCL10,CXCR3,B_cell,Plasma_cell,4.1952375e-05,4.94798e-06,0.052168515
Chemokine_signaling,CXCL10,CXCR3,B_cell,T_cell,7.641251e-05,1.4461135e-05,0.08551736
Chemokine_signaling,CXCL10,CXCR3,Endothelial,B_cell,8.054528e-05,2.6598782e-06,0.10792725
Chemokine_signaling,CXCL10,CXCR3,Endothelial,Endothelial,5.3179097e-06,0.0,0.007651647
Chemokine_signaling,CXCL10,CXCR3,Endothelial,Epithelial,2.4685871e-06,9.95024e-07,0.002122252
Chemokine_signaling,CXCL10,CXCR3,Endothelial,Fibroblast,1.6261134e-06,1.1851937e-06,0.00063516403
Chemokine_signaling,CXCL10,CXCR3,Endothelial,Mast_cell,0.0,0.0,0.0
Chemokine_signaling,CXCL10,CXCR3,Endothelial,Myeloid,6.3209704e-06,1.4600686e-06,0.006985678
Chemokine_signaling,CXCL10,CXCR3,Endothelial,NK_cell,0.00018853784,1.3916034e-05,0.22924966
Chemokine_signaling,CXCL10,CXCR3,Endothelial,Plasma_cell,7.774373e-05,4.012085e-06,0.102237485
Chemokine_signaling,CXCL10,CXCR3,Endothelial,T_cell,0.00014160326,1.1725857e-05,0.174243
Chemokine_signaling,CXCL10,CXCR3,Epithelial,B_cell,1.2426571e-05,1.6317723e-06,0.0154649075
Chemokine_signaling,CXCL10,CXCR3,Epithelial,Endothelial,8.2045005e-07,0.0,0.0011832712
Chemokine_signaling,CXCL10,CXCR3,Epithelial,Epithelial,3.80855e-07,6.1042374e-07,-0.00033084655
